run_id,timestamp,noise,ec,policy,seed,path_taken,num_hops,final_fidelity,latency_s,success,wall_time_s
1,2025-12-02T07:23:48.793949,0.005,none,shortest,20251202,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00019
2,2025-12-02T07:23:48.794809,0.005,none,shortest,20251203,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
3,2025-12-02T07:23:48.795519,0.005,none,shortest,20251204,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
4,2025-12-02T07:23:48.796229,0.005,none,shortest,20251205,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
5,2025-12-02T07:23:48.796902,0.005,none,shortest,20251206,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
6,2025-12-02T07:23:48.797790,0.005,none,shortest,20251207,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
7,2025-12-02T07:23:48.798500,0.005,none,shortest,20251208,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
8,2025-12-02T07:23:48.799189,0.005,none,shortest,20251209,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
9,2025-12-02T07:23:48.799868,0.005,none,shortest,20251210,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
10,2025-12-02T07:23:48.800530,0.005,none,shortest,20251211,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00014
11,2025-12-02T07:23:48.801211,0.005,none,shortest,20251212,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
12,2025-12-02T07:23:48.801886,0.005,none,shortest,20251213,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
13,2025-12-02T07:23:48.802553,0.005,none,shortest,20251214,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
14,2025-12-02T07:23:48.803224,0.005,none,shortest,20251215,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
15,2025-12-02T07:23:48.803887,0.005,none,shortest,20251216,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
16,2025-12-02T07:23:48.804556,0.005,none,shortest,20251217,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
17,2025-12-02T07:23:48.805227,0.005,none,shortest,20251218,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
18,2025-12-02T07:23:48.805892,0.005,none,shortest,20251219,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
19,2025-12-02T07:23:48.806550,0.005,none,shortest,20251220,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
20,2025-12-02T07:23:48.807243,0.005,none,shortest,20251221,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
21,2025-12-02T07:23:48.807931,0.005,none,shortest,20251222,N1-N2-N3-N6-N9,4,0.46926,0.054,0,0.00017
22,2025-12-02T07:23:48.808601,0.005,none,shortest,20251223,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
23,2025-12-02T07:23:48.809272,0.005,none,shortest,20251224,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
24,2025-12-02T07:23:48.809934,0.005,none,shortest,20251225,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00014
25,2025-12-02T07:23:48.810601,0.005,none,shortest,20251226,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
26,2025-12-02T07:23:48.811266,0.005,none,shortest,20251227,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
27,2025-12-02T07:23:48.811939,0.005,none,shortest,20251228,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
28,2025-12-02T07:23:48.812606,0.005,none,shortest,20251229,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
29,2025-12-02T07:23:48.813281,0.005,none,shortest,20251230,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
30,2025-12-02T07:23:48.814067,0.005,none,shortest,20251231,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
31,2025-12-02T07:23:48.814804,0.005,none,shortest,20251232,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
32,2025-12-02T07:23:48.815507,0.005,none,shortest,20251233,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
33,2025-12-02T07:23:48.816196,0.005,none,shortest,20251234,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
34,2025-12-02T07:23:48.816886,0.005,none,shortest,20251235,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
35,2025-12-02T07:23:48.817575,0.005,none,shortest,20251236,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
36,2025-12-02T07:23:48.818249,0.005,none,shortest,20251237,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
37,2025-12-02T07:23:48.818909,0.005,none,shortest,20251238,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
38,2025-12-02T07:23:48.819707,0.005,none,shortest,20251239,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00018
39,2025-12-02T07:23:48.822034,0.005,none,shortest,20251240,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00034
40,2025-12-02T07:23:48.823221,0.005,none,shortest,20251241,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00018
41,2025-12-02T07:23:48.824051,0.005,none,shortest,20251242,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
42,2025-12-02T07:23:48.824848,0.005,none,shortest,20251243,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
43,2025-12-02T07:23:48.825630,0.005,none,shortest,20251244,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
44,2025-12-02T07:23:48.826415,0.005,none,shortest,20251245,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
45,2025-12-02T07:23:48.827175,0.005,none,shortest,20251246,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
46,2025-12-02T07:23:48.827951,0.005,none,shortest,20251247,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
47,2025-12-02T07:23:48.828722,0.005,none,shortest,20251248,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
48,2025-12-02T07:23:48.829579,0.005,none,shortest,20251249,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00026
49,2025-12-02T07:23:48.830614,0.005,none,shortest,20251250,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00019
50,2025-12-02T07:23:48.831419,0.005,none,shortest,20251251,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
51,2025-12-02T07:23:48.832252,0.005,none,shortest,20251252,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
52,2025-12-02T07:23:48.833020,0.005,none,shortest,20251253,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
53,2025-12-02T07:23:48.833883,0.005,none,shortest,20251254,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00018
54,2025-12-02T07:23:48.834765,0.005,none,shortest,20251255,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
55,2025-12-02T07:23:48.835602,0.005,none,shortest,20251256,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
56,2025-12-02T07:23:48.836313,0.005,none,shortest,20251257,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
57,2025-12-02T07:23:48.837001,0.005,none,shortest,20251258,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
58,2025-12-02T07:23:48.837696,0.005,none,shortest,20251259,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
59,2025-12-02T07:23:48.838424,0.005,none,shortest,20251260,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
60,2025-12-02T07:23:48.839110,0.005,none,shortest,20251261,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00015
61,2025-12-02T07:23:48.840075,0.005,none,hybrid_rule,20251262,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00027
62,2025-12-02T07:23:48.841134,0.005,none,hybrid_rule,20251263,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00025
63,2025-12-02T07:23:48.842047,0.005,none,hybrid_rule,20251264,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00021
64,2025-12-02T07:23:48.843006,0.005,none,hybrid_rule,20251265,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.0002
65,2025-12-02T07:23:48.843782,0.005,none,hybrid_rule,20251266,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
66,2025-12-02T07:23:48.844500,0.005,none,hybrid_rule,20251267,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
67,2025-12-02T07:23:48.845232,0.005,none,hybrid_rule,20251268,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
68,2025-12-02T07:23:48.845950,0.005,none,hybrid_rule,20251269,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
69,2025-12-02T07:23:48.846687,0.005,none,hybrid_rule,20251270,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00021
70,2025-12-02T07:23:48.847400,0.005,none,hybrid_rule,20251271,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
71,2025-12-02T07:23:48.848235,0.005,none,hybrid_rule,20251272,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.0002
72,2025-12-02T07:23:48.849015,0.005,none,hybrid_rule,20251273,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00024
73,2025-12-02T07:23:48.849747,0.005,none,hybrid_rule,20251274,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
74,2025-12-02T07:23:48.850462,0.005,none,hybrid_rule,20251275,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
75,2025-12-02T07:23:48.851190,0.005,none,hybrid_rule,20251276,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
76,2025-12-02T07:23:48.851923,0.005,none,hybrid_rule,20251277,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.0002
77,2025-12-02T07:23:48.852658,0.005,none,hybrid_rule,20251278,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
78,2025-12-02T07:23:48.853373,0.005,none,hybrid_rule,20251279,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
79,2025-12-02T07:23:48.854121,0.005,none,hybrid_rule,20251280,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
80,2025-12-02T07:23:48.854917,0.005,none,hybrid_rule,20251281,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00023
81,2025-12-02T07:23:48.855674,0.005,none,hybrid_rule,20251282,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
82,2025-12-02T07:23:48.856391,0.005,none,hybrid_rule,20251283,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
83,2025-12-02T07:23:48.857104,0.005,none,hybrid_rule,20251284,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
84,2025-12-02T07:23:48.857824,0.005,none,hybrid_rule,20251285,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
85,2025-12-02T07:23:48.858547,0.005,none,hybrid_rule,20251286,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
86,2025-12-02T07:23:48.859266,0.005,none,hybrid_rule,20251287,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
87,2025-12-02T07:23:48.860017,0.005,none,hybrid_rule,20251288,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00022
88,2025-12-02T07:23:48.860734,0.005,none,hybrid_rule,20251289,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
89,2025-12-02T07:23:48.861487,0.005,none,hybrid_rule,20251290,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00022
90,2025-12-02T07:23:48.862255,0.005,none,hybrid_rule,20251291,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
91,2025-12-02T07:23:48.862977,0.005,none,hybrid_rule,20251292,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
92,2025-12-02T07:23:48.863689,0.005,none,hybrid_rule,20251293,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
93,2025-12-02T07:23:48.864403,0.005,none,hybrid_rule,20251294,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
94,2025-12-02T07:23:48.865125,0.005,none,hybrid_rule,20251295,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
95,2025-12-02T07:23:48.865849,0.005,none,hybrid_rule,20251296,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.0002
96,2025-12-02T07:23:48.866565,0.005,none,hybrid_rule,20251297,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
97,2025-12-02T07:23:48.867276,0.005,none,hybrid_rule,20251298,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
98,2025-12-02T07:23:48.868030,0.005,none,hybrid_rule,20251299,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
99,2025-12-02T07:23:48.868824,0.005,none,hybrid_rule,20251300,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00022
100,2025-12-02T07:23:48.869567,0.005,none,hybrid_rule,20251301,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
101,2025-12-02T07:23:48.870478,0.005,none,hybrid_rule,20251302,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00023
102,2025-12-02T07:23:48.871269,0.005,none,hybrid_rule,20251303,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00019
103,2025-12-02T07:23:48.871987,0.005,none,hybrid_rule,20251304,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
104,2025-12-02T07:23:48.872680,0.005,none,hybrid_rule,20251305,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
105,2025-12-02T07:23:48.873379,0.005,none,hybrid_rule,20251306,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
106,2025-12-02T07:23:48.874097,0.005,none,hybrid_rule,20251307,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
107,2025-12-02T07:23:48.874790,0.005,none,hybrid_rule,20251308,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
108,2025-12-02T07:23:48.875488,0.005,none,hybrid_rule,20251309,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
109,2025-12-02T07:23:48.876244,0.005,none,hybrid_rule,20251310,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.0002
110,2025-12-02T07:23:48.876992,0.005,none,hybrid_rule,20251311,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.0002
111,2025-12-02T07:23:48.877703,0.005,none,hybrid_rule,20251312,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
112,2025-12-02T07:23:48.878409,0.005,none,hybrid_rule,20251313,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
113,2025-12-02T07:23:48.879105,0.005,none,hybrid_rule,20251314,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
114,2025-12-02T07:23:48.879814,0.005,none,hybrid_rule,20251315,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
115,2025-12-02T07:23:48.880513,0.005,none,hybrid_rule,20251316,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
116,2025-12-02T07:23:48.881215,0.005,none,hybrid_rule,20251317,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
117,2025-12-02T07:23:48.881915,0.005,none,hybrid_rule,20251318,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
118,2025-12-02T07:23:48.882682,0.005,none,hybrid_rule,20251319,N1-N4-N7-N8-N5-N6-N9,6,0.76725,0.066,0,0.00021
119,2025-12-02T07:23:48.883402,0.005,none,hybrid_rule,20251320,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
120,2025-12-02T07:23:48.884136,0.005,none,hybrid_rule,20251321,N1-N4-N7-N8-N9,4,0.83575,0.054,1,0.00018
121,2025-12-02T07:23:48.884881,0.005,none,highest_fidelity,20251322,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00018
122,2025-12-02T07:23:48.885579,0.005,none,highest_fidelity,20251323,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
123,2025-12-02T07:23:48.886277,0.005,none,highest_fidelity,20251324,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
124,2025-12-02T07:23:48.886964,0.005,none,highest_fidelity,20251325,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
125,2025-12-02T07:23:48.887659,0.005,none,highest_fidelity,20251326,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
126,2025-12-02T07:23:48.888337,0.005,none,highest_fidelity,20251327,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
127,2025-12-02T07:23:48.889026,0.005,none,highest_fidelity,20251328,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
128,2025-12-02T07:23:48.889719,0.005,none,highest_fidelity,20251329,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
129,2025-12-02T07:23:48.890418,0.005,none,highest_fidelity,20251330,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
130,2025-12-02T07:23:48.891111,0.005,none,highest_fidelity,20251331,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
131,2025-12-02T07:23:48.891803,0.005,none,highest_fidelity,20251332,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
132,2025-12-02T07:23:48.892599,0.005,none,highest_fidelity,20251333,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
133,2025-12-02T07:23:48.893300,0.005,none,highest_fidelity,20251334,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
134,2025-12-02T07:23:48.894000,0.005,none,highest_fidelity,20251335,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
135,2025-12-02T07:23:48.894689,0.005,none,highest_fidelity,20251336,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
136,2025-12-02T07:23:48.895374,0.005,none,highest_fidelity,20251337,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
137,2025-12-02T07:23:48.896085,0.005,none,highest_fidelity,20251338,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
138,2025-12-02T07:23:48.896773,0.005,none,highest_fidelity,20251339,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
139,2025-12-02T07:23:48.897475,0.005,none,highest_fidelity,20251340,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
140,2025-12-02T07:23:48.898172,0.005,none,highest_fidelity,20251341,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
141,2025-12-02T07:23:48.898853,0.005,none,highest_fidelity,20251342,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
142,2025-12-02T07:23:48.899541,0.005,none,highest_fidelity,20251343,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
143,2025-12-02T07:23:48.900227,0.005,none,highest_fidelity,20251344,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
144,2025-12-02T07:23:48.900911,0.005,none,highest_fidelity,20251345,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
145,2025-12-02T07:23:48.901602,0.005,none,highest_fidelity,20251346,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
146,2025-12-02T07:23:48.902288,0.005,none,highest_fidelity,20251347,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
147,2025-12-02T07:23:48.902970,0.005,none,highest_fidelity,20251348,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
148,2025-12-02T07:23:48.903666,0.005,none,highest_fidelity,20251349,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
149,2025-12-02T07:23:48.904356,0.005,none,highest_fidelity,20251350,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
150,2025-12-02T07:23:48.905046,0.005,none,highest_fidelity,20251351,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
151,2025-12-02T07:23:48.905755,0.005,none,highest_fidelity,20251352,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
152,2025-12-02T07:23:48.906469,0.005,none,highest_fidelity,20251353,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
153,2025-12-02T07:23:48.907163,0.005,none,highest_fidelity,20251354,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
154,2025-12-02T07:23:48.907876,0.005,none,highest_fidelity,20251355,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
155,2025-12-02T07:23:48.908560,0.005,none,highest_fidelity,20251356,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
156,2025-12-02T07:23:48.909247,0.005,none,highest_fidelity,20251357,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
157,2025-12-02T07:23:48.909959,0.005,none,highest_fidelity,20251358,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
158,2025-12-02T07:23:48.910700,0.005,none,highest_fidelity,20251359,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
159,2025-12-02T07:23:48.911405,0.005,none,highest_fidelity,20251360,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
160,2025-12-02T07:23:48.912112,0.005,none,highest_fidelity,20251361,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00018
161,2025-12-02T07:23:48.912802,0.005,none,highest_fidelity,20251362,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
162,2025-12-02T07:23:48.913487,0.005,none,highest_fidelity,20251363,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00016
163,2025-12-02T07:23:48.914180,0.005,none,highest_fidelity,20251364,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
164,2025-12-02T07:23:48.914874,0.005,none,highest_fidelity,20251365,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
165,2025-12-02T07:23:48.915573,0.005,none,highest_fidelity,20251366,N1-N2-N3-N5-N6-N9,5,0.80024,0.06,1,0.00018
166,2025-12-02T07:23:48.916265,0.005,none,highest_fidelity,20251367,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
167,2025-12-02T07:23:48.916953,0.005,none,highest_fidelity,20251368,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
168,2025-12-02T07:23:48.917645,0.005,none,highest_fidelity,20251369,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
169,2025-12-02T07:23:48.918346,0.005,none,highest_fidelity,20251370,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
170,2025-12-02T07:23:48.919039,0.005,none,highest_fidelity,20251371,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
171,2025-12-02T07:23:48.919738,0.005,none,highest_fidelity,20251372,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
172,2025-12-02T07:23:48.920432,0.005,none,highest_fidelity,20251373,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
173,2025-12-02T07:23:48.921125,0.005,none,highest_fidelity,20251374,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
174,2025-12-02T07:23:48.921836,0.005,none,highest_fidelity,20251375,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
175,2025-12-02T07:23:48.922525,0.005,none,highest_fidelity,20251376,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
176,2025-12-02T07:23:48.923298,0.005,none,highest_fidelity,20251377,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
177,2025-12-02T07:23:48.924001,0.005,none,highest_fidelity,20251378,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
178,2025-12-02T07:23:48.924695,0.005,none,highest_fidelity,20251379,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
179,2025-12-02T07:23:48.925389,0.005,none,highest_fidelity,20251380,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
180,2025-12-02T07:23:48.926092,0.005,none,highest_fidelity,20251381,N1-N2-N3-N6-N9,4,0.83575,0.054,1,0.00017
181,2025-12-02T07:23:48.926775,0.005,purify_single,shortest,20251382,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
182,2025-12-02T07:23:48.927451,0.005,purify_single,shortest,20251383,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
183,2025-12-02T07:23:48.928123,0.005,purify_single,shortest,20251384,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
184,2025-12-02T07:23:48.928798,0.005,purify_single,shortest,20251385,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
185,2025-12-02T07:23:48.929473,0.005,purify_single,shortest,20251386,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
186,2025-12-02T07:23:48.930146,0.005,purify_single,shortest,20251387,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
187,2025-12-02T07:23:48.930809,0.005,purify_single,shortest,20251388,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00014
188,2025-12-02T07:23:48.931484,0.005,purify_single,shortest,20251389,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
189,2025-12-02T07:23:48.932164,0.005,purify_single,shortest,20251390,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00016
190,2025-12-02T07:23:48.932842,0.005,purify_single,shortest,20251391,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
191,2025-12-02T07:23:48.933519,0.005,purify_single,shortest,20251392,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
192,2025-12-02T07:23:48.934360,0.005,purify_single,shortest,20251393,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
193,2025-12-02T07:23:48.935032,0.005,purify_single,shortest,20251394,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
194,2025-12-02T07:23:48.935709,0.005,purify_single,shortest,20251395,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00016
195,2025-12-02T07:23:48.936421,0.005,purify_single,shortest,20251396,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
196,2025-12-02T07:23:48.937119,0.005,purify_single,shortest,20251397,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
197,2025-12-02T07:23:48.937796,0.005,purify_single,shortest,20251398,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00016
198,2025-12-02T07:23:48.938509,0.005,purify_single,shortest,20251399,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00017
199,2025-12-02T07:23:48.939191,0.005,purify_single,shortest,20251400,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
200,2025-12-02T07:23:48.939884,0.005,purify_single,shortest,20251401,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00016
201,2025-12-02T07:23:48.940650,0.005,purify_single,shortest,20251402,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
202,2025-12-02T07:23:48.941325,0.005,purify_single,shortest,20251403,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
203,2025-12-02T07:23:48.942002,0.005,purify_single,shortest,20251404,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
204,2025-12-02T07:23:48.942681,0.005,purify_single,shortest,20251405,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
205,2025-12-02T07:23:48.943356,0.005,purify_single,shortest,20251406,N1-N2-N3-N6-N9,4,0.86903,0.054,1,0.00015
